File Name,Count
.DS_Store,17
plus-minus-results.json,291
leisure-time-activity-survey-results.json,299
holt-laury-survey-results.json,299
probabilistic-selection-results.json,290
tower-of-london-results.json,296
general-self-efficacy-survey-results.json,299
brief-sensation-seeking-survey-results.json,298
mindful-attention-awareness-survey-results.json,299
trait-hedonic-capacity-survey-results.json,298
effort-avoidance-task-results.json,296
simon-results.json,295
life-orientation-test-revised-optimism-survey-results.json,295
positive-and-negative-affect-short-survey-results.json,301
perceived-stress-survey-results.json,296
trait-robustness-of-self-confidence-survey-results.json,295
secular-measure-of-work-ethic-survey-results.json,300
emotion-regulation-results.json,292
go-nogo-results.json,293
five-item-ambition-survey-results.json,295
keep-track-results.json,296
shift-task-results.json,292
jdm-classics-results.json,300
cognitive-reflection-survey-results.json,297
sona-id-entry-results.json,299
future-time-perspective-survey-results.json,293
brief-self-control-survey-results.json,299
competitiveness-index-revised-survey-results.json,298
rosenberg-self-esteem-survey-results.json,296
information-sampling-task-results.json,295
dass-21-results.json,297
grit-scale-survey-results.json,296
stroop-results.json,292
cognitive-estimation-test-results.json,298
berlin-numeracy-test-results.json,296
psychomotor-vigilance-test-results.json,293
trait-emotional-intelligence-short-survey-results.json,297
need-for-cognition-and-faith-in-intuition-survey-results.json,300
simple-reaction-time-results.json,292
two-stage-decision-results.json,296
k6-survey-results.json,298
boredom-proneness-scale-short-survey-results.json,297
affective-conflict-resolution-task-results.json,7
attention-network-task-results.json,285
ravens-results.json,295
propensity-to-plan-survey-results.json,294
bickel-titrator-results.json,295
maximizing-tendency-survey-results.json,295
two-stage-decision_results.csv,1
emotion-regulation_results.csv,2
semantic-verbal-fluency-results.json,237
simon_results.csv,1
probabilistic-selection_results.csv,1
