ParticipantIdentifier,ActualDueDate,Task_Trailmaking_Time,Task_Trailmaking_Errors,Task_Stroop_TotalCorrectProp,Task_Stroop_CongruentCorrectProp,Task_Stroop_IncongruentCorrectProp,Task_Stroop_TotalAvgRT,Task_Stroop_CongruentAvgRT,Task_Stroop_IncongruentAvgRT,Task_PSAT_Accuracy,Task_PSAT_AvgTime,Task_Hanoi_Solved,Task_Hanoi_Moves,Task_RT_Mean,Task_RT_SD,Task_SSMemory_Score
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-11,10.561142921447754,1,0.95,1.0,0.875,1.1586148958536797,1.1507920416964528,1.1703491770895198,0.0,3.0,False,19.0,1221640.3742667085,10.708848411290393,460.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-11,8.920517921447754,0,0.95,1.0,0.875,1.1586148958536797,1.1507920416964528,1.1703491770895198,0.0,3.0,False,19.0,1221640.3742667085,10.708848411290393,460.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-12,9.949458003044128,1,0.9,1.0,0.7142857142857143,1.0580768687301316,1.0331036217976362,1.1044557558904802,0.43333333333333335,2.1935907361020033,False,46.0,1258449.6993445973,9.819146804111028,400.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-12,10.304655075073242,0,0.9,1.0,0.7142857142857143,1.0580768687301316,1.0331036217976362,1.1044557558904802,0.43333333333333335,2.1935907361020033,False,46.0,1258449.6993445973,9.819146804111028,400.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-12,8.913798928260803,0,0.9,1.0,0.7142857142857143,1.0580768687301316,1.0331036217976362,1.1044557558904802,0.43333333333333335,2.1935907361020033,False,46.0,1258449.6993445973,9.819146804111028,400.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-13,11.981860041618347,1,1.0,1.0,1.0,0.9936604833696038,0.9665143371940675,1.0268391064730369,1.0,1.3694321402736633,False,0.0,1305378.4205685,9.66785716209546,355.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-13,10.819762945175171,0,1.0,1.0,1.0,0.9936604833696038,0.9665143371940675,1.0268391064730369,1.0,1.3694321402736633,False,0.0,1305378.4205685,9.66785716209546,355.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-13,9.077875971794128,0,1.0,1.0,1.0,0.9936604833696038,0.9665143371940675,1.0268391064730369,1.0,1.3694321402736633,False,0.0,1305378.4205685,9.66785716209546,355.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-14,12.165251970291138,0,1.0,1.0,1.0,0.9011035375180654,0.7679223795938823,1.0100699394560335,0.9333333333333333,1.31611572498611,True,32.0,1316699.5910825,11.400177433680758,405.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-14,8.187875032424927,0,1.0,1.0,1.0,0.9011035375180654,0.7679223795938823,1.0100699394560335,0.9333333333333333,1.31611572498611,True,32.0,1316699.5910825,11.400177433680758,405.0
48396d3f-058f-4526-b7e7-b260c92774ea,2022-08-14,7.585866093635559,0,1.0,1.0,1.0,0.9011035375180654,0.7679223795938823,1.0100699394560335,0.9333333333333333,1.31611572498611,True,32.0,1316699.5910825,11.400177433680758,405.0
